datetime,open,high,low,close,volume
2020-01-01 00:00:00,129.12,130.61,128.62,130.57,49702.947
2020-01-01 02:00:00,130.58,130.97,129.88,130.09,38688.117
2020-01-01 04:00:00,130.1,130.63,130.05,130.23,19208.447
2020-01-01 06:00:00,130.23,130.67,130.0,130.17,27605.276
2020-01-01 08:00:00,130.15,130.49,129.75,130.03,22279.667
2020-01-01 10:00:00,130.02,131.88,129.97,130.64,48087.29
2020-01-01 12:00:00,130.63,131.97,130.63,131.55,31081.136
2020-01-01 14:00:00,131.55,132.49,131.16,131.97,44603.171
2020-01-01 16:00:00,132.0,132.96,131.71,132.31,49268.804
2020-01-01 18:00:00,132.31,132.38,131.45,131.79,29455.68
2020-01-01 20:00:00,131.79,132.25,131.57,131.77,32815.512
2020-01-01 22:00:00,131.77,131.77,129.54,130.62,73267.882
2020-01-02 00:00:00,130.63,130.75,130.09,130.17,28907.87
2020-01-02 02:00:00,130.13,130.13,128.75,129.09,62445.364
2020-01-02 04:00:00,129.07,129.83,128.67,129.58,40717.029
2020-01-02 06:00:00,129.58,129.96,128.96,129.28,34430.094
2020-01-02 08:00:00,129.2,130.22,129.17,129.96,35584.594
2020-01-02 10:00:00,129.92,130.24,129.32,129.48,33756.494
2020-01-02 12:00:00,129.47,129.95,128.79,129.31,38062.175
2020-01-02 14:00:00,129.31,129.87,129.11,129.48,37027.768
2020-01-02 16:00:00,129.5,129.65,126.25,127.36,142381.903
2020-01-02 18:00:00,127.38,127.63,127.05,127.53,28440.035
2020-01-02 20:00:00,127.53,127.79,126.7,127.65,24636.582
2020-01-02 22:00:00,127.65,127.65,126.86,127.11,17193.016
2020-01-03 00:00:00,127.11,127.51,125.78,125.96,36580.283
2020-01-03 02:00:00,125.96,127.01,125.8,126.76,32000.165
2020-01-03 04:00:00,126.81,130.18,126.81,129.18,135300.82
2020-01-03 06:00:00,129.18,129.43,128.69,128.82,44890.221
2020-01-03 08:00:00,128.84,132.97,128.66,132.32,161402.121
2020-01-03 10:00:00,132.31,132.66,131.48,132.42,58950.501
2020-01-03 12:00:00,132.4,133.95,131.87,133.47,60606.031
2020-01-03 14:00:00,133.48,133.78,130.94,132.45,89254.524
2020-01-03 16:00:00,132.48,134.94,131.92,133.93,139908.223
2020-01-03 18:00:00,133.92,134.16,132.17,133.41,73684.01
2020-01-03 20:00:00,133.42,133.98,132.21,132.44,53605.727
2020-01-03 22:00:00,132.44,135.07,132.15,134.29,64940.971
2020-01-04 00:00:00,134.31,134.73,132.75,132.97,46580.401
2020-01-04 02:00:00,132.98,133.47,132.74,133.25,31114.371
2020-01-04 04:00:00,133.25,134.0,132.88,133.65,38885.674
2020-01-04 06:00:00,133.65,134.21,133.3,133.84,38487.354
2020-01-04 08:00:00,133.84,134.08,133.34,134.05,37491.817
